Cookies & Cream,5/8/2018,5/10/2018
Choc,5/8/2018,5/10/2018
Cookie Monster,5/10/2018,5/10/2018
Choc Chip,5/8/2018,5/11/2018
Choc,5/8/2018,5/11/2018
Mint Choc Chip,5/10/2018,5/11/2018
Cookies & Cream,5/8/2018,5/11/2018
Cookie Monster,5/10/2018,5/11/2018
Vanilla,5/8/2018,5/12/2018
Cookie Monster,5/11/2018,5/12/2018
Vanilla,5/12/2018,5/12/2018
Vanilla,5/12/2018,5/12/2018
Mint Choc Chip,5/10/2018,5/12/2018
Choc,5/11/2018,5/12/2018
Root Beer,5/8/2018,5/13/2018
Salted Caramel,5/8/2018,5/13/2018
Butter Pecan,5/10/2018,5/13/2018
Choc Chip,5/10/2018,5/13/2018
Brown Sugar Cinn,5/10/2018,5/13/2018
Cookie Monster,5/11/2018,5/13/2018
Red Velvet,5/8/2018,5/13/2018
Vanilla,5/12/2018,5/13/2018
Salted Caramel,5/8/2018,5/13/2018
Amy's Fav,5/10/2018,5/13/2018
Unicorn Poop,5/12/2018,5/13/2018
Vanilla,5/12/2018,5/13/2018
Cookie Monster,5/11/2018,5/13/2018
Mint Choc Chip,5/12/2018,5/16/2018
Amy's Fav,5/12/2018,5/16/2018
Salted Caramel,5/12/2018,5/16/2018
Vanilla,5/13/2018,5/16/2018
Cookie Monster,5/11/2018,5/16/2018
DF Choc PB,5/11/2018,5/16/2018
Coffee Fudge,5/12/2018,5/16/2018
Bubble Gum,5/10/2018,5/16/2018
Choc,5/13/2018,5/16/2018
Choc,5/13/2018,5/17/2018
Mint Choc Chip,5/12/2018,5/17/2018
Cookie Monster,5/15/2018,5/17/2018
Amy's Fav,5/12/2018,5/17/2018
Vanilla,5/15/2018,5/17/2018
Choc Chip,5/10/2018,5/17/2018
Red Velvet,5/17/2018,5/18/2018
Salted Caramel,5/18/2018,5/18/2018
Vanilla,5/18/2018,5/20/2018
Cookie Monster,5/18/2018,5/18/2018
Coffee,5/12/2018,5/18/2018
Vanilla,5/18/2018,5/18/2018
Cookies & Cream,5/10/2018,5/18/2018
Strawberry,5/12/2018,5/18/2018
Bubble Gum,5/10/2018,5/18/2018
Cookie Monster,5/18/2018,5/19/2018
Cookie Monster,5/15/2018,5/19/2018
Vanilla,5/13/2018,5/19/2018
Choc Chip,5/15/2018,5/19/2018
Vanilla,5/18/2018,5/19/2018
Milky Way,5/12/2018,5/19/2018
Unicorn Poop,5/17/2018,5/19/2018
Mint Choc Chip,5/15/2018,5/19/2018
Choc,5/17/2018,5/19/2018
Coffee Fudge,5/15/2018,5/19/2018
Coffee,5/10/2018,5/19/2018
Mint Choc Chip,5/15/2018,5/19/2018
Amy's Fav,5/18/2018,5/19/2018
Butter Brickle,5/18/2018,5/20/2018
Unicorn Poop,5/17/2018,5/20/2018
Choc Chip,5/15/2018,5/20/2018
Rocky Road,5/15/2018,5/20/2018
Coffee Fudge,5/18/2018,5/20/2018
Choc,5/17/2018,5/20/2018
Amy's Fav,5/18/2018,5/20/2018
Salted Caramel,5/18/2018,5/23/2018
Orange Cream,5/8/2018,5/23/2018
Grasshopper,5/8/2018,5/23/2018
Cookie Monster,5/21/2018,5/23/2018
Amy's Fav,5/22/2018,5/23/2018
Vanilla,5/20/2018,5/23/2018
Root Beer,5/8/2018,5/23/2018
Butter Pecan,5/18/2018,5/23/2018
Salted Caramel,5/22/2018,5/24/2018
Unicorn Poop,5/22/2018,5/24/2018
Mint Choc Chip,5/21/2018,5/24/2018
Nutella,5/15/2018,5/24/2018
Vanilla,5/21/2018,5/24/2018
Rocky Road,5/15/2018,5/24/2018
Choc Chip,5/22/2018,5/24/2018
Mint Choc Chip,5/21/2018,5/24/2018
Choc,5/22/2018,5/24/2018
Cookie Monster,5/21/2018,5/24/2018
Coffee Fudge,5/18/2018,5/24/2018
Choc,5/22/2018,5/25/2018
Cookie Monster,5/24/2018,5/25/2018
Maple Walnut,5/12/2018,5/25/2018
Choc,5/22/2018,5/25/2018
Butter Brickle,5/18/2018,5/25/2018
Strawberry,5/21/2018,5/25/2018
Vanilla,5/21/2018,5/25/2018
Amy's Fav,5/22/2018,5/25/2018
Brown Sugar Cinn,5/18/2018,5/26/2018
Raspberry Cheesecake,5/18/2018,5/26/2018
Cookie Monster,5/24/2018,5/26/2018
Salted Caramel,5/22/2018,5/26/2018
Vanilla,5/22/2018,5/26/2018
